Passengers,Dist2Sta,Rooms,Area,Age,TransYear,TransQ,CPI,Value
10011.6,20.0,4.0,75,12.0,2023,2,105.6,2700.0
10011.6,20.0,3.0,70,24.0,2023,2,105.6,1700.0
10011.6,20.0,4.0,65,37.0,2023,1,105.6,1100.0
10011.6,20.0,4.0,70,23.0,2022,2,102.3,2500.0
10011.6,24.0,4.0,85,42.0,2022,2,102.3,3300.0
10011.6,24.0,4.0,70,27.0,2022,1,102.3,2300.0
10011.6,23.0,4.0,85,18.0,2021,4,99.8,3500.0
10011.6,23.0,4.0,70,10.0,2021,2,99.8,2800.0
10011.6,24.0,3.0,70,25.0,2020,4,100.0,2200.0
10011.6,24.0,3.0,65,40.0,2020,4,100.0,1200.0
10011.6,24.0,4.0,65,40.0,2020,3,100.0,1700.0
10011.6,24.0,4.0,70,40.0,2020,3,100.0,2100.0
10011.6,20.0,4.0,75,9.0,2020,2,100.0,2800.0
10011.6,24.0,3.0,65,40.0,2020,1,100.0,1100.0
10011.6,24.0,4.0,70,39.0,2019,4,100.0,1600.0
10011.6,24.0,4.0,65,39.0,2019,4,100.0,1300.0
10011.6,24.0,4.0,70,39.0,2019,3,100.0,1400.0
10011.6,23.0,4.0,95,16.0,2019,1,100.0,3900.0
95281.1,30.0,5.0,95,16.0,2019,3,100.0,3300.0
20094.2,30.0,4.0,65,39.0,2019,3,100.0,1300.0
26831.7,19.0,4.0,65,46.0,2023,2,105.6,600.0
26831.7,19.0,4.0,70,8.0,2023,2,105.6,3200.0
26831.7,19.0,4.0,70,25.0,2023,1,105.6,2500.0
26831.7,19.0,4.0,70,24.0,2022,1,102.3,2700.0
26831.7,20.0,4.0,70,42.0,2019,4,100.0,850.0
26831.7,19.0,4.0,70,11.0,2019,4,100.0,1700.0
26831.7,19.0,4.0,60,32.0,2019,2,100.0,1200.0
22676.4,23.0,4.0,70,7.0,2022,2,102.3,2700.0
22676.4,23.0,,75,20.0,2021,4,99.8,2500.0
22676.4,23.0,3.0,80,19.0,2020,2,100.0,2400.0
4206.7,5.0,5.0,80,37.0,2022,3,102.3,2600.0
4206.7,5.0,,75,35.0,2020,1,100.0,1600.0
4206.7,13.0,4.0,60,25.0,2023,4,105.6,2200.0
4206.7,13.0,4.0,60,25.0,2023,3,105.6,3000.0
4206.7,13.0,4.0,60,24.0,2022,4,102.3,1900.0
4206.7,10.0,4.0,65,26.0,2022,3,102.3,3000.0
4206.7,12.0,5.0,75,25.0,2021,4,99.8,2900.0
4206.7,13.0,4.0,60,23.0,2021,3,99.8,2900.0
4206.7,12.0,4.0,65,25.0,2021,3,99.8,2100.0
4206.7,11.0,4.0,60,25.0,2021,1,99.8,1900.0
4206.7,13.0,4.0,60,23.0,2020,2,100.0,2000.0
4206.7,13.0,4.0,60,22.0,2020,2,100.0,1700.0
4206.7,12.0,5.0,85,22.0,2020,1,100.0,2700.0
4206.7,11.0,4.0,60,22.0,2019,3,100.0,1900.0
4206.7,13.0,4.0,65,21.0,2019,1,100.0,2300.0
52071.7,20.0,4.0,70,10.0,2022,4,102.3,2800.0
52071.7,20.0,,70,10.0,2022,2,102.3,2400.0
4206.7,18.0,4.0,70,39.0,2022,2,102.3,900.0
4206.7,18.0,4.0,70,38.0,2021,4,99.8,1200.0
4206.7,18.0,4.0,70,37.0,2020,3,100.0,1200.0
4206.7,20.0,5.0,90,37.0,2020,2,100.0,1300.0
52071.7,23.0,5.0,90,40.0,2023,2,105.6,1800.0
52071.7,21.0,3.0,80,38.0,2021,4,99.8,1600.0
52071.7,23.0,4.0,70,38.0,2021,2,99.8,1400.0
4206.7,1.0,2.0,15,33.0,2022,3,102.3,360.0
4206.7,3.0,2.0,15,33.0,2022,2,102.3,360.0
4206.7,2.0,2.0,15,31.0,2020,4,100.0,350.0
4206.7,2.0,2.0,15,30.0,2019,1,100.0,390.0
31877.3,9.0,4.0,65,14.0,2021,2,99.8,2700.0
31877.3,4.0,4.0,65,10.0,2020,1,100.0,3600.0
4206.7,5.0,,65,16.0,2022,4,102.3,2800.0
4206.7,5.0,3.0,65,13.0,2019,2,100.0,2900.0
26831.7,15.0,5.0,100,34.0,2023,1,105.6,3900.0
20094.2,24.0,4.0,65,24.0,2022,1,102.3,1500.0
10011.6,16.0,4.0,65,25.0,2023,4,105.6,1200.0
20094.2,24.0,4.0,60,25.0,2023,2,105.6,1700.0
26831.7,25.0,,85,22.0,2019,2,100.0,1600.0
10011.6,24.0,5.0,85,26.0,2023,4,105.6,2500.0
10011.6,24.0,4.0,70,26.0,2023,3,105.6,2000.0
10011.6,24.0,4.0,65,25.0,2022,4,102.3,1800.0
10011.6,25.0,4.0,65,24.0,2021,4,99.8,1600.0
10011.6,24.0,4.0,65,24.0,2021,2,99.8,1600.0
10011.6,24.0,4.0,70,24.0,2021,1,99.8,1700.0
10011.6,24.0,,70,23.0,2020,3,100.0,1300.0
10011.6,24.0,,70,23.0,2020,3,100.0,1700.0
10011.6,24.0,4.0,75,22.0,2020,1,100.0,1200.0
10011.6,23.0,4.0,90,29.0,2023,2,105.6,2200.0
10011.6,16.0,3.0,85,26.0,2020,2,100.0,1800.0
10011.6,15.0,5.0,80,26.0,2020,1,100.0,2000.0
10011.6,15.0,4.0,75,25.0,2019,2,100.0,1800.0
10011.6,16.0,4.0,85,25.0,2019,2,100.0,2300.0
10011.6,15.0,5.0,100,38.0,2023,3,105.6,2500.0
10011.6,16.0,4.0,60,45.0,2023,3,105.6,850.0
10011.6,16.0,4.0,60,45.0,2023,1,105.6,1300.0
10011.6,16.0,,75,44.0,2022,3,102.3,1000.0
10011.6,15.0,3.0,65,44.0,2022,3,102.3,770.0
10011.6,16.0,4.0,60,44.0,2022,2,102.3,500.0
10011.6,15.0,,65,44.0,2022,2,102.3,800.0
10011.6,15.0,4.0,65,43.0,2021,3,99.8,1300.0
10011.6,16.0,4.0,65,43.0,2021,1,99.8,600.0
10011.6,16.0,,65,41.0,2019,4,100.0,650.0
10011.6,15.0,4.0,70,41.0,2019,4,100.0,1400.0
10011.6,15.0,5.0,85,34.0,2019,3,100.0,1200.0
10011.6,16.0,,70,41.0,2019,2,100.0,600.0
1756.3,4.0,3.0,70,7.0,2024,1,108.0,3300.0
1756.3,4.0,4.0,65,6.0,2023,4,105.6,3100.0
1756.3,5.0,4.0,75,15.0,2020,1,100.0,2600.0
1756.3,5.0,5.0,80,2.0,2019,2,100.0,4000.0
1756.3,4.0,5.0,90,2.0,2019,1,100.0,4600.0
1756.3,5.0,5.0,85,2.0,2019,1,100.0,4300.0
1756.3,5.0,5.0,85,2.0,2019,1,100.0,4300.0
1756.3,5.0,4.0,85,2.0,2019,1,100.0,3800.0
7356.8,3.0,5.0,80,41.0,2022,3,102.3,1800.0
7356.8,2.0,4.0,80,39.0,2020,3,100.0,1900.0
7356.8,2.0,4.0,80,,2019,4,100.0,2100.0
7356.8,2.0,4.0,80,38.0,2019,3,100.0,1300.0
1756.3,8.0,4.0,85,42.0,2023,3,105.6,1400.0
1756.3,10.0,,65,20.0,2021,1,99.8,2000.0
1756.3,11.0,4.0,90,34.0,2020,4,100.0,2000.0
1756.3,9.0,,75,34.0,2020,4,100.0,1300.0
1756.3,9.0,4.0,75,34.0,2020,3,100.0,1700.0
1756.3,9.0,,65,34.0,2020,2,100.0,1100.0
1756.3,9.0,,75,34.0,2020,1,100.0,1400.0
1756.3,9.0,4.0,70,33.0,2019,1,100.0,1800.0
23739.8,14.0,3.0,65,21.0,2022,1,102.3,2700.0
23739.8,14.0,4.0,70,19.0,2020,3,100.0,2800.0
23739.8,14.0,,70,18.0,2019,2,100.0,2000.0
7356.8,3.0,4.0,70,48.0,2023,1,105.6,490.0
7356.8,5.0,,70,46.0,2021,3,99.8,430.0
7356.8,3.0,4.0,70,44.0,2019,3,100.0,650.0
7356.8,5.0,4.0,70,44.0,2019,3,100.0,950.0
43789.2,6.0,4.0,65,20.0,2021,3,99.8,2600.0
52071.7,26.0,4.0,70,4.0,2023,3,105.6,3300.0
52071.7,26.0,3.0,70,4.0,2023,3,105.6,3100.0
52071.7,21.0,4.0,70,2.0,2023,3,105.6,3500.0
52071.7,21.0,4.0,70,2.0,2023,2,105.6,3400.0
52071.7,21.0,3.0,70,2.0,2023,1,105.6,3700.0
52071.7,26.0,4.0,70,4.0,2023,1,105.6,3400.0
52071.7,24.0,4.0,80,5.0,2022,4,102.3,3900.0
