,評定者,対象,小さい,綺麗,癒し,柔らかい,ふわふわ,あたたかい,お洒落,美しい,優しい,女の子らしい,素敵,丸い,きらきら,無邪気,和み,幼い,華やか
56,KvU4uz9zm,犬,2,0,2,2,2,2,1,0,1,1,1,2,0,2,2,1,1
57,E2PLla6IW,子猫,2,2,2,2,2,2,-1,2,2,-1,2,2,2,2,2,2,1
58,5t11p+6tE,パステルカラーの洋服,-1,1,2,2,2,1,0,0,1,2,2,1,0,0,1,0,0
59,Zxjd7f3yE,女の子,1,1,1,1,-2,1,1,1,1,1,1,1,1,-1,1,1,1
60,Fw8SEx7Kc,グルーミーと言うキャラクター,-1,-2,1,2,-1,-1,2,-2,-2,-1,0,-1,-1,-1,-2,-1,-1
61,Kd5ICgpJS,子犬,2,-2,2,2,2,2,-2,-2,-2,-2,0,1,-1,2,2,2,-2
62,EnIktFsBo,ぬいぐるみ,0,-1,1,1,2,1,-1,-2,0,1,0,1,-1,1,2,2,-1
63,+Hpfbit+a,綾瀬はるか,-1,2,2,1,2,2,1,2,0,2,2,-2,2,0,2,-2,1
64,lschzgsz4,赤ちゃん,2,-2,2,2,2,2,-2,0,1,0,-1,2,2,-2,2,2,-1
65,Gt+RIPOxE,髪型,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
66,x2JIha7pa,きゃりーぱみゅぱみゅ,2,2,2,-1,2,2,2,2,2,2,2,0,2,2,0,-1,2
67,ThSFP/7c6,雑貨,2,2,2,-2,2,2,2,2,2,2,2,-1,-2,-2,2,-2,1
68,fEkFadipa,小物,2,1,2,0,0,2,2,2,2,-1,2,0,1,0,2,-1,1
69,c5CsQRoM+,ファッション,0,2,0,1,0,1,2,2,-1,0,2,-1,2,-1,0,-1,2
70,yO+7FddMs,動物,1,-2,1,1,1,1,-1,0,0,0,1,1,1,1,1,0,-2
71,syPIKye4y,アイドル,0,2,2,0,-1,-2,1,1,0,2,1,-2,-2,1,0,0,1
72,68qJcFZve,リボン,0,0,-1,0,1,-2,2,-1,-2,-2,1,-2,1,-2,-2,-2,1
