ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper,yearly
1958-03-01,314.8577902765058,314.8577902765058,314.8577902765058,316.19884123063747,315.6145836557279,316.7521961173623,1.3410509541316755
1958-04-01,314.9339603147394,314.9339603147394,314.9339603147394,317.51551188838374,316.9953742436653,318.048601567013,2.581551573644312
1958-05-01,315.0076732549655,315.0076732549655,315.0076732549655,318.0830705731311,317.55057653094184,318.6532996314509,3.0753973181656633
1958-07-01,315.1575562334252,315.1575562334252,315.1575562334252,315.8861566791311,315.31056097345686,316.43261979449255,0.7286004457058933
1958-08-01,315.23372627165884,315.23372627165884,315.23372627165884,313.8407465394184,313.29639345261677,314.3914705702978,-1.3929797322404422
1958-09-01,315.3098963098925,315.3098963098925,315.3098963098925,312.11993928433634,311.586055693798,312.6848711957928,-3.189957025556167
1958-11-01,315.4597792883522,315.4597792883522,315.4597792883522,313.3913343304647,312.84612964735385,313.9032644211264,-2.0684449578874657
1958-12-01,315.5334922285783,315.5334922285783,315.5334922285783,314.6401726054682,314.0873719788509,315.1740054491927,-0.8933196231101296
1959-01-01,315.60966226681194,315.60966226681194,315.60966226681194,315.6725974273366,315.13299067301483,316.19663211884927,0.06293516052463502
1959-02-01,315.68583230504555,315.68583230504555,315.68583230504555,316.3706018196927,315.82490146048417,316.88906257980483,0.6847695146471546
1959-03-01,315.75463104925655,315.75463104925655,315.75463104925655,317.0583053398174,316.51219714673294,317.6140005620977,1.3036742905608794
1959-04-01,315.8308010874902,315.8308010874902,315.8308010874902,318.38754619426237,317.8508453306473,318.9180016350362,2.556745106772166
1959-05-01,315.9045140277163,315.9045140277163,315.9045140277163,319.0054229388867,318.4608624231309,319.53772790573737,3.100908911170384
1959-06-01,315.9806840659499,315.9806840659499,315.9806840659499,318.3617969211286,317.79909081272086,318.9010530499961,2.3811128551787086
1959-07-01,316.05439700617603,316.05439700617603,316.05439700617603,316.79790474261483,316.2514139901502,317.3601841116791,0.7435077364388054
1959-08-01,316.13056704440964,316.13056704440964,316.13056704440964,314.75307993081236,314.2043098848433,315.2911018980851,-1.3774871135972984
1959-09-01,316.20673708264326,316.20673708264326,316.20673708264326,313.03103815754895,312.491114538157,313.58069184154704,-3.175698925094323
1959-10-01,316.28045002286933,316.28045002286933,316.28045002286933,312.8901977694291,312.31125322016476,313.4456789133412,-3.3902522534402113
1959-11-01,316.35662006110294,316.35662006110294,316.35662006110294,314.27889521513083,313.7430828105834,314.81536691714854,-2.0777248459721394
1959-12-01,316.4303330013291,316.4303330013291,316.4303330013291,315.5436317417922,315.03417494398195,316.0986856398275,-0.8867012595368868
1960-01-01,316.5065030395627,316.5065030395627,316.5065030395627,316.5844112991919,316.0336882160998,317.121720605012,0.077908259629246
1960-02-01,316.5826730777963,316.5826730777963,316.5826730777963,317.2671148671203,316.7270686288255,317.8040661520862,0.6844417893240227
1960-03-01,316.6539289200149,316.6539289200149,316.6539289200149,318.0693981821019,317.49163167181337,318.62440665386066,1.4154692620870368
1960-04-01,316.73009895824845,316.73009895824845,316.73009895824845,319.3634368397243,318.81160949022853,319.91909512695264,2.6333378814758333
1960-05-01,316.80381189847463,316.80381189847463,316.80381189847463,319.8295473909978,319.28301232886287,320.3918940501328,3.025735492523176
1960-06-01,316.87070333732953,316.87070333732953,316.87070333732953,319.1864488589522,318.67918790939336,319.76460817525594,2.3157455216226537
1960-07-01,316.9354369878343,316.9354369878343,316.9354369878343,317.633179539639,317.0516862115932,318.1918089483795,0.6977425518046931
1960-08-01,317.00232842668925,317.00232842668925,317.00232842668925,315.5778478908672,315.058411886356,316.080482536761,-1.424480535822051
1960-09-01,317.06921986554414,317.06921986554414,317.06921986554414,313.84985102446694,313.3119893861653,314.38162739311406,-3.219368841077179
1960-10-01,317.1339535160489,317.1339535160489,317.1339535160489,313.8551422804133,313.2761430051685,314.38271703848494,-3.278811235635627
1960-11-01,317.2008449549038,317.2008449549038,317.2008449549038,315.1531740073353,314.6112888100701,315.72221384229965,-2.047670947568541
1960-12-01,317.2655786054086,317.2655786054086,317.2655786054086,316.3601359776436,315.8109357589864,316.95294899377836,-0.9054426277650034
1961-01-01,317.3324700442635,317.3324700442635,317.3324700442635,317.3645336372967,316.82268665312273,317.9370366048368,0.03206359303317649
1961-02-01,317.39936148311847,317.39936148311847,317.39936148311847,318.08236197619533,317.5413312422339,318.5965607714438,0.6830004930768544
1961-03-01,317.4597795569229,317.4597795569229,317.4597795569229,318.838109072185,318.31965449639665,319.3880211444421,1.3783295152620836
1961-04-01,317.52667099577786,317.52667099577786,317.52667099577786,320.13376151701993,319.60225576451865,320.6975663864312,2.6070905212420894
1961-05-01,317.59140464628257,317.59140464628257,317.59140464628257,320.6417348707018,320.08902317811186,321.1711251399453,3.0503302244192048
1961-06-01,317.6582960851375,317.6582960851375,317.6582960851375,319.99610829385244,319.4366052923577,320.5410087536859,2.337812208714929
1961-07-01,317.7230297356423,317.7230297356423,317.7230297356423,318.4363739958145,317.8751971909405,318.9941852009162,0.7133442601722012
1961-08-01,317.78992117449724,317.78992117449724,317.78992117449724,316.3812772357267,315.8250510001364,316.9080220154095,-1.4086439387705498
