ds,y,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper,yearly
1958-03-01,315.7,316.2295268719459,315.66852160830865,316.7894085943812,314.88015479,314.88015479,314.88015479,1.3493720819459152
1958-04-01,317.46,317.5505590711368,317.0489336894551,318.12426373456947,314.9549570261856,314.9549570261856,314.9549570261856,2.5956020449512116
1958-05-01,317.51,318.0965333088673,317.5737468888224,318.65411680917924,315.0273462870103,315.0273462870103,315.0273462870103,3.069187021857043
1958-07-01,315.86,315.9340651824637,315.3254847073821,316.4821634524765,315.17453778402063,315.17453778402063,315.17453778402063,0.7595273984430826
1958-08-01,314.93,313.88276403890296,313.3242658482444,314.41204769077433,315.2493400202062,315.2493400202062,315.2493400202062,-1.3665759813032605
1958-09-01,313.21,312.1575364005935,311.61759675715643,312.6845967492838,315.3241422563918,315.3241422563918,315.3241422563918,-3.166605855798282
1958-11-01,313.33,313.4043405777778,312.8801188045229,313.94323799007356,315.47133375340206,315.47133375340206,315.47133375340206,-2.0669931756242628
1958-12-01,314.67,314.6548495242376,314.09119189453725,315.2033297721326,315.5437230142268,315.5437230142268,315.5437230142268,-0.8888734899892229
1959-01-01,315.58,315.6531831896463,315.07736411784987,316.20204962815484,315.6185252504124,315.6185252504124,315.6185252504124,0.03465793923390301
1959-02-01,316.48,316.3591602903382,315.8078706361523,316.9359568543186,315.6933274865979,315.6933274865979,315.6933274865979,0.6658328037402443
1959-03-01,316.65,317.0841458326916,316.55922001680483,317.6755862115521,315.76089079670106,315.76089079670106,315.76089079670106,1.3232550359905202
1959-04-01,317.72,318.42063836759326,317.8606671823645,318.9475273157498,315.83569303288664,315.83569303288664,315.83569303288664,2.5849453347066094
1959-05-01,318.29,318.9887437828511,318.4462994671652,319.5512415381773,315.90808229371135,315.90808229371135,315.90808229371135,3.0806614891397524
1959-06-01,318.15,318.35408874824344,317.80229324120296,318.94214677233634,315.9828845298969,315.9828845298969,315.9828845298969,2.3712042183465294
1959-07-01,316.54,316.8353256083602,316.26477019783533,317.3503639882797,316.0552737907216,316.0552737907216,316.0552737907216,0.7800518176386164
1959-08-01,314.8,314.780817361221,314.27788605240676,315.34537489124887,316.1300760269072,316.1300760269072,316.1300760269072,-1.3492586656862116
1959-09-01,313.84,313.05409137535116,312.5012020492225,313.59116296633823,316.2048782630928,316.2048782630928,316.2048782630928,-3.1507868877416394
1959-10-01,313.34,312.9150906313663,312.36881642965807,313.46974977502924,316.27726752391754,316.27726752391754,316.27726752391754,-3.362176892551266
1959-11-01,314.81,314.27325881095965,313.70255547100334,314.8090649154152,316.3520697601031,316.3520697601031,316.3520697601031,-2.078810949143487
