,station,to_station,#_of_rooms,floor_plan,area,tx.yr.,age,bldg.struct.,LUZ,renovation,price
3265,西宮(阪神),30.0,5.0,４ＬＤＫ,80.0,2014.0,16.0,ＳＲＣ,１中住専,未改装,1500.0
3266,西宮(阪神),30.0,4.0,３ＬＤＫ,65.0,2014.0,16.0,ＳＲＣ,１中住専,未改装,1700.0
3267,西宮(阪神),30.0,4.0,３ＬＤＫ,65.0,2014.0,16.0,ＳＲＣ,１中住専,未改装,1500.0
3268,西宮(阪神),30.0,4.0,３ＬＤＫ,75.0,2014.0,16.0,ＳＲＣ,１中住専,未改装,1600.0
3269,甲陽園,23.0,3.0,２ＤＫ,50.0,2010.0,21.0,ＲＣ,１中住専,未改装,970.0
3270,西宮(阪神),6.0,2.0,１Ｋ,20.0,2017.0,10.0,ＲＣ,近隣商業,未改装,1400.0
3271,西宮(阪神),4.0,4.0,３ＬＤＫ,80.0,2017.0,19.0,ＳＲＣ,近隣商業,未改装,3100.0
3272,生瀬,16.0,3.0,２ＬＤＫ,70.0,2017.0,25.0,ＲＣ,１中住専,改装済み,830.0
3275,門戸厄神,6.0,4.0,３ＬＤＫ,70.0,2014.0,12.0,ＲＣ,１中住専,未改装,3600.0
3276,門戸厄神,6.0,5.0,４ＬＤＫ,95.0,2014.0,12.0,ＲＣ,１中住専,未改装,4800.0
3277,武庫川団地前,6.0,5.0,４ＬＤＫ,100.0,2010.0,6.0,ＲＣ,１中住専,未改装,3000.0
3278,武庫川団地前,6.0,4.0,３ＬＤＫ,70.0,2010.0,21.0,ＳＲＣ,１中住専,未改装,1400.0
3279,武庫川団地前,6.0,4.0,３ＬＤＫ,70.0,2010.0,21.0,ＳＲＣ,１中住専,改装済み,87.0
3280,門戸厄神,4.0,4.0,３ＬＤＫ,70.0,2017.0,3.0,ＲＣ,１中住専,未改装,4200.0
3281,武庫川団地前,9.0,5.0,４ＬＤＫ,65.0,2010.0,27.0,ＳＲＣ,１中住専,未改装,1400.0
3282,武庫川団地前,6.0,4.0,３ＬＤＫ,85.0,2010.0,6.0,ＲＣ,１中住専,未改装,2100.0
3283,武庫川団地前,9.0,5.0,４ＬＤＫ,65.0,2010.0,27.0,ＳＲＣ,１中住専,未改装,1600.0
3284,武庫川団地前,10.0,4.0,３ＬＤＫ,65.0,2010.0,25.0,ＳＲＣ,１中住専,改装済み,1400.0
3285,武庫川団地前,5.0,4.0,３ＬＤＫ,75.0,2010.0,19.0,ＲＣ,１中住専,未改装,1900.0
3286,西宮(ＪＲ),7.0,4.0,３ＬＤＫ,70.0,2014.0,13.0,ＲＣ,１種住居,未改装,2800.0
3287,西宮(阪神),8.0,4.0,３ＬＤＫ,70.0,2014.0,10.0,ＲＣ,近隣商業,未改装,2900.0
3288,夙川,11.0,4.0,３ＬＤＫ,95.0,2010.0,23.0,ＲＣ,１中住専,改装済み,1500.0
3289,香櫨園,11.0,4.0,３ＬＤＫ,70.0,2017.0,10.0,ＲＣ,１中住専,改装済み,3400.0
3290,香櫨園,10.0,5.0,４ＬＤＫ,90.0,2017.0,10.0,ＲＣ,１中住専,改装済み,3900.0
3291,西宮北口,11.0,4.0,３ＬＤＫ,60.0,2010.0,35.0,ＳＲＣ,準工業,未改装,1100.0
3292,西宮北口,11.0,4.0,３ＬＤＫ,70.0,2010.0,11.0,ＲＣ,準工業,未改装,2100.0
3293,甲子園,11.0,4.0,３ＬＤＫ,65.0,2014.0,13.0,ＲＣ,１中住専,未改装,3200.0
3296,西宮(阪神),11.0,4.0,３ＬＤＫ,70.0,2017.0,19.0,ＲＣ,近隣商業,改装済み,3200.0
3297,西宮(阪神),11.0,4.0,３ＬＤＫ,70.0,2017.0,19.0,ＲＣ,近隣商業,改装済み,3200.0
3298,西宮(阪神),10.0,4.0,３ＬＤＫ,70.0,2017.0,19.0,ＲＣ,近隣商業,改装済み,3700.0
3299,西宮(阪神),2.0,4.0,３ＬＤＫ,65.0,2014.0,13.0,ＳＲＣ,商業,改装済み,2800.0
3300,西宮(阪神),5.0,4.0,２Ｌ＋Ｓ,65.0,2014.0,10.0,ＳＲＣ,商業,未改装,2600.0
3301,西宮(阪神),5.0,4.0,３ＬＤＫ,65.0,2014.0,10.0,ＳＲＣ,商業,改装済み,2800.0
3302,西宮北口,10.0,4.0,３ＬＤＫ,65.0,2010.0,11.0,ＳＲＣ,１種住居,改装済み,2600.0
3304,苦楽園口,12.0,5.0,４ＬＤＫ,90.0,2017.0,12.0,ＲＣ,１低住専,未改装,4400.0
3305,西宮(ＪＲ),9.0,4.0,３ＬＤＫ,70.0,2017.0,3.0,ＲＣ,準工業,未改装,4400.0
3306,香櫨園,9.0,4.0,３ＬＤＫ,60.0,2010.0,13.0,ＲＣ,準工業,未改装,2100.0
