ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper,yearly
1958-03-01,314.9105977865648,314.9105977865648,314.9105977865648,316.2030477813572,315.72401911845037,316.7246147293154,1.2924499947924255
1958-04-01,314.9855540732224,314.9855540732224,314.9855540732224,317.47419005935495,316.96819861882466,317.9707547380456,2.4886359861325853
1958-05-01,315.058092415149,315.058092415149,315.058092415149,318.0170146770911,317.5251051391169,318.5298661308463,2.958922261942087
1958-07-01,315.20558704373326,315.20558704373326,315.20558704373326,315.9814152870525,315.4921786092883,316.50098639179794,0.775828243319293
1958-08-01,315.2805433303908,315.2805433303908,315.2805433303908,314.02081760199707,313.4886491390493,314.5407806788255,-1.2597257283937087
1958-09-01,315.3554996170484,315.3554996170484,315.3554996170484,312.24982177734614,311.73609203927975,312.7393980259813,-3.1056778397022744
1958-11-01,315.50299424563264,315.50299424563264,315.50299424563264,313.4098939985347,312.9013023188659,313.90487565238385,-2.0931002470979108
1958-12-01,315.5755325875593,315.5755325875593,315.5755325875593,314.61667869880534,314.1189111017584,315.1249378168634,-0.9588538887539377
1959-01-01,315.6504888742169,315.6504888742169,315.6504888742169,315.61095193219984,315.1168687418494,316.13184516949434,-0.039536942017020134
1959-02-01,315.72544516087436,315.72544516087436,315.72544516087436,316.32036157763065,315.85032392953235,316.8438389763886,0.5949164167562887
1959-03-01,315.7931476133393,315.7931476133393,315.7931476133393,317.00216190254037,316.4527155066129,317.5220123974033,1.2090142892011129
1959-04-01,315.8681038999968,315.8681038999968,315.8681038999968,318.35103410098793,317.8666693292008,318.8753565536435,2.482930200991132
1959-05-01,315.9406422419235,315.9406422419235,315.9406422419235,318.9321233088204,318.4458250467841,319.41328842395217,2.991481066896866
1959-06-01,316.01559852858105,316.01559852858105,316.01559852858105,318.35525957616125,317.8265324563544,318.8660076297967,2.339661047580205
1959-07-01,316.08813687050775,316.08813687050775,316.08813687050775,316.85767638576095,316.3793038334656,317.37490520593144,0.769539515253209
1959-08-01,316.1630931571653,316.1630931571653,316.1630931571653,314.9341187220272,314.4366935569828,315.4174154152778,-1.2289744351380707
1959-09-01,316.2380494438229,316.2380494438229,316.2380494438229,313.1454978185713,312.62775708810796,313.6348737135411,-3.0925516252515655
1959-10-01,316.3056282866728,316.3056282866728,316.3056282866728,312.9306389755945,312.38784553777174,313.40614717522175,-3.374989311078326
1959-11-01,316.3754597576178,316.3754597576178,316.3754597576178,314.2857191627831,313.747022799234,314.807956779286,-2.0897405948347503
1959-12-01,316.44303860046773,316.44303860046773,316.44303860046773,315.4943711228565,314.9859245851576,315.9764822384995,-0.9486674776112565
1960-01-01,316.5128700714127,316.5128700714127,316.5128700714127,316.49672027250426,316.0060838585518,317.008996001064,-0.01614979890840403
1960-02-01,316.58270154235765,316.58270154235765,316.58270154235765,317.1943495497706,316.70342103691075,317.7157517275304,0.6116480074129367
1960-03-01,316.64802775711263,316.64802775711263,316.64802775711263,318.1073958709113,317.5882153996828,318.62005858624696,1.4593681137987
1960-04-01,316.71785922805753,316.71785922805753,316.71785922805753,319.22238404065297,318.7420464201151,319.72319589392606,2.5045248125954274
1960-05-01,316.78543807090756,316.78543807090756,316.78543807090756,319.68077497635437,319.1592044397012,320.23803557578475,2.895336905446829
1960-06-01,316.85526954185246,316.85526954185246,316.85526954185246,319.0925928155977,318.5908878462211,319.6350273791346,2.2373232737452535
1960-07-01,316.92284838470243,316.92284838470243,316.92284838470243,317.71003736433033,317.17098551171443,318.20473391502827,0.787188979627917
1960-08-01,316.9926798556474,316.9926798556474,316.9926798556474,315.6711512713413,315.1533306346381,316.1621644896178,-1.321528584306145
1960-09-01,317.06251132659236,317.06251132659236,317.06251132659236,313.9284619400594,313.39042722341003,314.44040058246196,-3.1340493865330004
1960-10-01,317.1300901694423,317.1300901694423,317.1300901694423,313.93343402969964,313.4128928736432,314.48261109529915,-3.1966561397426747
1960-11-01,317.19992164038723,317.19992164038723,317.19992164038723,315.10365147322284,314.6230960227361,315.5910293394684,-2.096270167164367
